[0.021s] Invoking command in '/home/maneesh/dev_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /usr/bin/cmake --build /home/maneesh/dev_ws/build/my_bot -- -j16 -l16
[0.056s] Invoked command in '/home/maneesh/dev_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /usr/bin/cmake --build /home/maneesh/dev_ws/build/my_bot -- -j16 -l16
[0.091s] Invoking command in '/home/maneesh/dev_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /usr/bin/cmake --install /home/maneesh/dev_ws/build/my_bot
[0.097s] -- Install configuration: ""
[0.097s] -- Execute custom install script
[0.098s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/config/drive_bot.rviz
[0.098s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/config/empty.yaml
[0.098s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/config/gaz_ros2_ctl_use_sim.yaml
[0.098s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/config/gazebo_params.yaml
[0.099s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/config/joystick.yaml
[0.099s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/config/main.rviz
[0.099s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/config/map.rviz
[0.099s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/config/mapper_params_online_async.yaml
[0.099s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/config/my_controllers.yaml
[0.099s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/config/nav2_params.yaml
[0.099s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/config/twist_mux.yaml
[0.099s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/config/view_bot.rviz
[0.099s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/description/camera.xacro
[0.099s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/description/depth_camera.xacro
[0.099s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/description/destination.py
[0.099s] -- Up-to-date symlink: /home/maneesh/dev_ws/install/my_bot/share/my_bot/description/face.xacro
